id,count,Kingdom,Phylum,Class,Order,Family,Genus,count
10317.000012326,22,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,22
10317.000012326,21,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,"",21
10317.000012326,21,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,21
10317.000012326,20,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,20
10317.000012326,20,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,20
10317.000012326,20,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,20
10317.000012326,19,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Ezakiella,19
10317.000012326,18,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,DTU089,18
10317.000012326,18,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,"",18
10317.000012326,18,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,18
10317.000012326,17,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,UBA1819,17
10317.000012326,17,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9,17
10317.000012326,17,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,17
10317.000012326,17,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,17
10317.000012326,17,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,17
10317.000012326,16,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"",16
10317.000012326,16,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,16
10317.000012326,16,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_NK4B4_group,16
10317.000012326,16,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,16
10317.000012326,15,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"",15
10317.000012326,15,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,15
10317.000012326,15,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",15
10317.000012326,15,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_ND3007_group,15
10317.000012326,14,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",14
10317.000012326,14,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"",14
10317.000012326,14,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,"","",14
10317.000012326,13,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9,13
10317.000012326,13,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,13
10317.000012326,13,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,13
10317.000012326,13,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,"","",13
10317.000012326,13,Bacteria,Firmicutes,Clostridia,Clostridiales,"","",13
10317.000012326,13,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,13
10317.000012326,12,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",12
10317.000012326,12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,"","",12
10317.000012326,12,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia,12
10317.000012326,12,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,12
10317.000012326,11,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-008,11
10317.000012326,11,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,11
10317.000012326,11,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",11
10317.000012326,11,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,11
